state_fips,owner_purchase_originations,minority_originations,lowincome_originations,owner_loan_amount_median,income_median,minority_share,year
33,18266,1003,5585,305000.0,94000.0,0.05491076316653892,2021
33,14918,838,4153,345000.0,110500.0,0.056173749832417214,2022
33,11346,671,2723,355000.0,122000.0,0.05913978494623656,2023
34,88369,21200,23775,280000.0,94000.0,0.23990313345177608,2018
34,90370,21700,25443,295000.0,97000.0,0.24012393493415957,2019
34,101958,23311,32772,325000.0,95500.0,0.2286333588340297,2020
34,113832,28644,31362,355000.0,101000.0,0.25163398692810457,2021
34,88206,22010,23188,395000.0,118000.0,0.24952951046414076,2022
34,65627,16644,14525,415000.0,133000.0,0.25361512791991103,2023
35,21023,7411,5915,165000.0,64000.0,0.3525186700280645,2018
35,22150,8071,5764,165000.0,66000.0,0.36437923250564336,2019
35,24820,9157,6767,185000.0,67000.0,0.36893634165995165,2020
35,26780,9909,6383,205000.0,70000.0,0.3700149365197909,2021
35,21659,7835,4675,235000.0,79000.0,0.3617433861212429,2022
35,17447,6662,3121,245000.0,85000.0,0.38184215051298215,2023
36,125719,23515,37816,335000.0,99500.0,0.18704412220905353,2018
36,128246,24052,38395,355000.0,102500.0,0.18754581039564586,2019
36,129374,23291,40838,375000.0,102500.0,0.1800284446643066,2020
36,162352,32835,50283,415000.0,106000.0,0.20224573765645018,2021
36,133542,26471,39769,415000.0,118500.0,0.19822228212846896,2022
36,98061,19405,26449,415000.0,131500.0,0.19788702950204465,2023
37,137186,25012,37998,165000.0,64000.0,0.18232181126354002,2018
37,146748,27466,43817,180000.0,65500.0,0.18716439065609072,2019
37,162382,31255,51336,200000.0,66000.0,0.19247823034572797,2020
37,171028,35106,49378,225000.0,70000.0,0.2052646350305213,2021
37,147202,30716,37912,265000.0,82000.0,0.20866564312984878,2022
37,121187,26498,27802,275000.0,92000.0,0.2186538160033667,2023
38,8536,343,3514,170000.0,70000.0,0.040182755388940956,2018
38,8793,336,3435,175000.0,72000.0,0.03821221426134425,2019
38,9647,421,4348,175000.0,68000.0,0.04364051000310978,2020
38,10820,580,4812,190000.0,71000.0,0.053604436229205174,2021
38,8743,493,3714,205000.0,77500.0,0.05638796751687064,2022
38,6773,490,2660,205000.0,87500.0,0.07234608002362321,2023
39,135958,12733,51295,125000.0,58500.0,0.09365392253490049,2018
39,141435,13050,54741,135000.0,60000.0,0.0922685332484887,2019
39,150021,14544,61900,145000.0,60500.0,0.09694642750014998,2020
39,156793,17166,64674,165000.0,62000.0,0.10948192840241593,2021
39,132222,14509,52803,180000.0,70500.0,0.10973211719683562,2022
39,107733,12278,40430,185000.0,78000.0,0.11396693677888854,2023
40,41868,5974,15157,125000.0,57500.0,0.14268653864526606,2018
40,44803,6587,15194,135000.0,61000.0,0.14702140481664175,2019
40,50468,7732,16643,145000.0,61000.0,0.15320599191566933,2020
40,51992,8509,17242,155000.0,62000.0,0.163659793814433,2021
40,43582,7211,13671,180000.0,72000.0,0.1654582166949658,2022
40,36058,6260,10896,185000.0,77000.0,0.1736091852016196,2023
41,53719,4441,10770,285000.0,81000.0,0.08267093579552859,2018
41,54718,4560,12333,295000.0,82500.0,0.08333637925362769,2019
41,60764,5490,14312,325000.0,84000.0,0.09034954907511027,2020
41,64948,6511,14563,365000.0,89500.0,0.10024943031348156,2021
