county_fips,owner_purchase_originations,minority_originations,lowincome_originations,owner_loan_amount_median,income_median,minority_share,year
05065,101,2,30,95000.0,49250.0,0.0198019801980198,2018
05067,89,7,32,75000.0,45000.0,0.0786516853932584,2018
05069,395,190,102,80000.0,41000.0,0.4810126582278481,2018
05071,208,31,67,112500.0,50000.0,0.1490384615384615,2018
05073,28,4,5,70000.0,65500.0,0.1428571428571428,2018
05075,106,4,42,72500.0,43500.0,0.0377358490566037,2018
05077,22,7,8,75000.0,48500.0,0.3181818181818182,2018
05079,71,11,22,75000.0,57000.0,0.1549295774647887,2018
05081,111,12,33,90000.0,60500.0,0.1081081081081081,2018
05083,158,8,56,100000.0,49500.0,0.050632911392405,2018
05085,1163,75,452,125000.0,63250.0,0.0644883920894239,2018
05087,146,5,73,130000.0,51500.0,0.0342465753424657,2018
05089,151,1,50,105000.0,46500.0,0.0066225165562913,2018
05091,331,49,93,95000.0,54000.0,0.148036253776435,2018
05093,237,42,63,85000.0,50000.0,0.1772151898734177,2018
05095,29,10,13,70000.0,44500.0,0.3448275862068966,2018
05097,56,1,15,105000.0,54000.0,0.0178571428571428,2018
05099,24,5,8,85000.0,56000.0,0.2083333333333333,2018
05101,30,0,11,120000.0,46750.0,0.0,2018
05103,161,41,48,85000.0,59250.0,0.2546583850931677,2018
05105,83,1,32,95000.0,61000.0,0.0120481927710843,2018
05107,40,13,13,70000.0,55750.0,0.325,2018
05109,76,2,23,80000.0,52500.0,0.0263157894736842,2018
05111,145,10,45,85000.0,48000.0,0.0689655172413793,2018
05113,124,7,38,90000.0,47750.0,0.0564516129032258,2018
05115,658,77,180,115000.0,56500.0,0.1170212765957446,2018
05117,42,1,16,75000.0,67500.0,0.0238095238095238,2018
05119,4278,957,1431,145000.0,57000.0,0.2237026647966339,2018
05121,159,3,50,85000.0,50750.0,0.0188679245283018,2018
05123,82,34,25,80000.0,45750.0,0.4146341463414634,2018
05125,1961,215,628,155000.0,68000.0,0.109637939826619,2018
05127,48,0,20,75000.0,42000.0,0.0,2018
05129,47,0,15,90000.0,51000.0,0.0,2018
05131,1267,178,369,125000.0,53250.0,0.1404893449092344,2018
05133,113,32,36,80000.0,58500.0,0.2831858407079646,2018
05135,112,1,54,77500.0,36750.0,0.0089285714285714,2018
05137,74,3,16,125000.0,51000.0,0.0405405405405405,2018
05139,322,78,70,107500.0,59000.0,0.2422360248447205,2018
05141,120,4,41,95000.0,50000.0,0.0333333333333333,2018
05143,3224,483,989,155000.0,65000.0,0.1498138957816377,2018
05145,754,38,248,110000.0,57000.0,0.0503978779840848,2018
05147,17,1,6,70000.0,47500.0,0.0588235294117647,2018
05149,128,16,45,90000.0,54250.0,0.125,2018
06001,13274,3849,924,635000.0,171500.0,0.28996534578876,2018
06003,11,0,1,375000.0,107000.0,0.0,2018
06005,554,38,115,275000.0,91000.0,0.0685920577617328,2018
06007,2321,233,400,235000.0,76000.0,0.1003877638948729,2018
06009,679,61,178,245000.0,82750.0,0.0898379970544919,2018
06011,140,63,11,260000.0,78000.0,0.45,2018
06013,12081,3295,2108,495000.0,134000.0,0.2727423226554093,2018
06015,182,26,40,210000.0,70500.0,0.1428571428571428,2018
06017,2725,201,354,350000.0,101750.0,0.0737614678899082,2018
06019,8936,3796,1475,225000.0,65500.0,0.4247985675917636,2018
06021,218,71,53,215000.0,65000.0,0.3256880733944954,2018
06023,820,69,120,275000.0,80750.0,0.0841463414634146,2018
06025,1036,811,196,197500.0,63000.0,0.7828185328185329,2018
06027,118,13,16,275000.0,95000.0,0.1101694915254237,2018
06029,8807,3799,1692,195000.0,60500.0,0.4313614170546156,2018
06031,1289,518,222,225000.0,65500.0,0.4018619084561676,2018
06033,719,106,160,225000.0,70000.0,0.1474269819193324,2018
06035,298,34,92,165000.0,71000.0,0.1140939597315436,2018
06037,50545,17980,8085,480000.0,120000.0,0.3557226234048867,2018
06039,1424,649,263,235000.0,74000.0,0.4557584269662921,2018
06041,1985,122,211,745000.0,244750.0,0.0614609571788413,2018
06043,132,8,23,270000.0,70500.0,0.0606060606060606,2018
06045,443,71,28,320000.0,90250.0,0.1602708803611738,2018
06047,2397,1334,351,235000.0,70000.0,0.556528994576554,2018
06049,68,5,20,135000.0,64750.0,0.0735294117647058,2018
06051,97,3,16,325000.0,101000.0,0.0309278350515463,2018
06053,2463,979,242,457500.0,117500.0,0.3974827446203816,2018
06055,898,174,82,505000.0,151500.0,0.1937639198218262,2018
